,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal
0,2022-01-26,2895.0,2903.695,2746.37,2777.45,4780085,21.5904,2731.576,3123.7868,3515.9976,-145.7461,-47.9249,-97.8212
1,2022-01-25,2844.85,2872.0,2762.9,2799.72,4541233,22.2411,2802.4663,3160.2433,3518.0204,-132.0411,-46.2011,-85.84
2,2022-01-24,2780.0,2898.9,2707.04,2890.88,7802237,25.1186,2886.9369,3198.1932,3509.4494,-114.8953,-40.6056,-74.2897
3,2022-01-21,2999.0,3018.0,2841.408,2852.86,8198572,21.1687,2955.3224,3230.5419,3505.7615,-100.6216,-36.4833,-64.1383
4,2022-01-20,3135.32,3160.0,3027.02,3033.35,3598666,27.5822,3064.1563,3270.2979,3476.4396,-77.0685,-22.051,-55.0175
5,2022-01-19,3175.24,3185.0,3125.0,3125.98,2620856,32.2365,3123.1697,3295.2398,3467.3099,-64.2623,-14.7576,-49.5047
6,2022-01-18,3182.1,3194.6899,3153.29,3178.35,3306866,35.3699,3164.5932,3313.0566,3461.52,-56.4137,-10.5984,-45.8153
7,2022-01-14,3203.0,3245.0,3196.01,3242.76,2298743,39.7864,3192.2801,3327.2363,3462.1924,-50.9076,-7.7419,-43.1658
8,2022-01-13,3305.01,3324.4299,3221.82,3224.28,2609415,37.7143,3207.5675,3336.1285,3464.6895,-49.6975,-8.4673,-41.2303
9,2022-01-12,3331.5,3337.56,3288.34,3304.14,2501456,43.7565,3221.4303,3347.902,3474.3737,-45.5485,-6.4351,-39.1135
10,2022-01-11,3230.0,3327.0,3214.03,3307.24,3115005,44.0106,3227.9934,3352.5086,3477.0238,-47.7216,-10.2169,-37.5047
11,2022-01-10,3211.71,3233.23,3126.09,3229.72,4389915,35.2822,3234.6009,3357.2737,3479.9464,-50.1166,-15.1662,-34.9505
12,2022-01-07,3276.78,3304.865,3240.62,3251.08,2330295,36.7479,3260.2934,3370.7004,3481.1073,-44.5517,-13.3928,-31.1589
13,2022-01-06,3269.01,3296.0,3238.7442,3265.08,2597889,37.7012,3279.0412,3383.292,3487.5428,-38.9757,-11.1649,-27.8108
14,2022-01-05,3337.66,3342.525,3287.14,3287.14,3215136,39.1886,3291.2914,3395.7354,3500.1794,-32.7172,-7.6976,-25.0195
15,2022-01-04,3408.76,3428.0,3326.99,3350.44,3536258,43.7921,3303.1167,3407.1664,3511.2162,-26.4992,-3.4041,-23.0951
16,2022-01-03,3351.0,3414.07,3323.21,3408.09,3193457,48.6223,3312.8539,3413.1377,3513.4214,-24.6225,-2.3785,-22.2441
17,2021-12-31,3379.12,3387.0,3331.17,3334.34,2381786,40.8756,3312.7871,3413.669,3514.5508,-27.7389,-6.0894,-21.6495
18,2021-12-30,3394.0,3417.76,3370.48,3372.89,1879155,44.1033,3327.8224,3422.0194,3516.2164,-23.8039,-3.6768,-20.1271
19,2021-12-29,3416.8,3424.24,3372.0101,3384.02,1787702,45.0571,3335.0522,3427.1909,3519.3296,-22.3602,-3.1523,-19.2079
20,2021-12-28,3403.65,3443.5176,3382.71,3413.22,2735593,47.5631,3334.6908,3431.7352,3528.7797,-21.3256,-2.9058,-18.4199
21,2021-12-27,3420.74,3458.86,3384.31,3393.39,2942341,45.6571,3321.3575,3433.6842,3546.0109,-22.668,-4.9746,-17.6934
22,2021-12-23,3408.56,3439.5,3403.0,3421.37,1839412,47.9402,3323.829,3437.9257,3552.0224,-22.0326,-5.5829,-16.4497
23,2021-12-22,3385.395,3441.0,3370.01,3420.74,2751773,47.8857,3311.3551,3439.6684,3567.9817,-23.75,-8.6959,-15.054
24,2021-12-21,3357.01,3414.3299,3312.95,3408.34,2797791,46.8694,3302.4589,3441.6609,3580.8629,-25.5324,-12.6523,-12.88
25,2021-12-20,3337.0,3357.4851,3312.0,3341.58,2868633,41.1301,3299.579,3445.1683,3590.7577,-26.1734,-16.4565,-9.717
26,2021-12-17,3354.21,3417.97,3312.271,3400.35,4287758,45.1138,3295.6686,3456.0724,3616.4761,-19.8136,-14.2107,-5.6028
27,2021-12-16,3467.3714,3483.32,3363.205,3377.42,3043842,43.1178,3281.676,3461.9379,3642.1998,-17.3918,-15.3416,-2.0502
28,2021-12-15,3371.96,3472.0,3303.9,3466.3,3789713,49.6115,3298.2527,3470.8345,3643.4162,-11.713,-13.4982,1.7852
29,2021-12-14,3351.0,3389.98,3328.8,3381.83,2798764,41.8879,3299.1914,3471.3118,3643.4322,-13.344,-18.5038,5.1598
30,2021-12-13,3440.0,3442.0,3382.6,3391.35,3108450,42.5708,3318.6201,3480.7309,3642.8418,-6.6311,-16.4168,9.7857
31,2021-12-10,3508.34,3518.54,3410.0,3444.24,3034488,46.4799,3338.9605,3490.1395,3641.3185,1.0642,-12.8258,13.8899
32,2021-12-09,3515.0,3539.39,3482.79,3483.42,2303091,49.6137,3346.3531,3494.971,3643.5889,5.4855,-11.6109,17.0964
33,2021-12-08,3523.01,3543.6,3495.01,3523.16,2262683,52.9779,3347.4874,3496.1869,3644.8863,7.0596,-12.9395,19.9991
34,2021-12-07,3492.0,3549.99,3466.69,3523.29,3320536,52.9888,3343.1258,3493.3476,3643.5694,4.9199,-18.3141,23.234
35,2021-12-06,3393.0,3473.91,3338.69,3427.37,3443000,45.2626,3338.9455,3490.1958,3641.446,2.104,-25.7085,27.8125
36,2021-12-03,3455.0,3469.865,3338.6,3389.79,4035550,41.7818,3352.627,3496.809,3640.991,8.2457,-25.994,34.2397
37,2021-12-02,3460.0,3492.7,3423.75,3437.36,3236288,45.1571,3376.7084,3508.0742,3639.44,19.7911,-20.9471,40.7382
38,2021-12-01,3545.0,3559.88,3441.6,3443.72,3756995,45.6146,3374.3773,3515.5178,3656.6582,29.3959,-16.579,45.9749
39,2021-11-30,3563.5,3585.77,3492.01,3507.07,4001107,50.3308,3355.9923,3523.0754,3690.1586,40.58,-9.5397,50.1197
40,2021-11-29,3547.6443,3596.0,3531.5001,3561.57,3265557,54.8621,3334.3601,3524.7602,3715.1603,47.8145,-4.6901,52.5046
41,2021-11-26,3602.095,3633.5,3504.15,3504.56,2991297,50.5365,3321.4765,3520.8855,3720.2945,50.8038,-2.8734,53.6772
42,2021-11-24,3562.67,3613.64,3536.85,3580.41,2328018,57.3231,3321.3612,3522.604,3723.8467,59.6849,5.2894,54.3955
43,2021-11-23,3585.04,3621.05,3527.71,3580.04,3692246,57.2971,3312.5602,3516.5191,3720.478,62.4293,9.3562,53.0732
44,2021-11-22,3676.3768,3713.455,3567.5,3572.57,4847850,56.8042,3303.2428,3509.8327,3716.4226,65.0619,14.3278,50.7341
45,2021-11-19,3712.69,3762.145,3675.72,3676.57,4946203,66.7669,3288.6343,3503.2288,3717.8233,68.2362,21.0841,47.1522
46,2021-11-18,3566.35,3704.2,3561.0,3696.06,5703538,68.8688,3283.8406,3484.9823,3686.1241,60.7062,18.825,41.8812
47,2021-11-17,3564.72,3587.245,3545.35,3549.0,2560270,60.059,3294.2565,3462.7636,3631.2708,48.2277,11.0528,37.1749
48,2021-11-16,3539.0,3576.5,3525.1466,3540.7,2217071,59.4577,3291.9765,3453.6861,3615.3957,46.5725,12.1608,34.4117
