,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal
0,2022-01-26,307.01,307.51,290.85,294.63,28348801,31.6719,292.0388,319.9257,347.8126,-8.2572,-3.7724,-4.4848
1,2022-01-25,299.95,306.23,297.58,300.15,25108454,33.9392,297.007,322.5884,348.1698,-6.9287,-3.3871,-3.5416
2,2022-01-24,297.84,309.53,289.01,308.71,38936901,37.8398,301.4997,324.9503,348.401,-5.6943,-2.9995,-2.6949
3,2022-01-21,314.81,318.31,303.04,303.17,28710717,33.2279,305.2627,326.6598,348.057,-4.9076,-2.9626,-1.945
4,2022-01-20,323.9,327.82,315.98,316.56,16925030,39.8663,312.0415,329.1325,346.2234,-3.2679,-2.0636,-1.2044
5,2022-01-19,319.5822,327.1,319.33,319.59,20563976,41.6132,315.0456,330.4559,345.8662,-2.491,-1.8025,-0.6885
6,2022-01-18,323.29,324.21,317.64,318.15,22352652,40.4618,317.0652,331.5997,346.1341,-1.7715,-1.5337,-0.2379
7,2022-01-14,321.79,332.73,321.21,331.9,16868497,49.0349,320.3872,333.0154,345.6436,-0.6809,-0.8265,0.1456
8,2022-01-13,334.98,335.63,325.76,326.48,14797109,44.7501,320.5671,333.1328,345.6985,-0.6789,-1.0311,0.3522
9,2022-01-12,335.18,336.365,330.03,333.26,14104858,49.5932,321.5353,333.8331,346.1309,-0.1147,-0.7247,0.6099
10,2022-01-11,326.78,334.63,325.28,334.37,16191633,50.4228,321.6117,333.8934,346.1752,-0.0832,-0.8743,0.7911
11,2022-01-10,325.31,328.34,315.43,328.07,24942383,45.6294,321.5638,333.8433,346.1228,-0.1548,-1.1645,1.0097
12,2022-01-07,332.74,337.0,328.8801,331.79,14722020,48.1838,322.3564,334.451,346.5455,0.3975,-0.9033,1.3008
13,2022-01-06,322.82,339.165,322.72,332.46,27962809,48.6392,322.481,334.7311,346.9812,0.7179,-0.8088,1.5267
14,2022-01-05,333.02,335.76,323.84,324.17,20564521,42.3829,322.5964,334.9702,347.3439,1.0482,-0.6806,1.7288
15,2022-01-04,339.95,343.0854,331.8711,336.53,15997974,50.9802,323.4735,336.107,348.7405,2.2986,0.3996,1.899
16,2022-01-03,338.295,341.0816,337.19,338.54,14562849,52.5912,321.3207,336.0625,350.8043,2.6027,0.8036,1.7991
17,2021-12-31,343.015,343.44,336.27,336.35,12516527,51.0255,316.918,335.8017,354.6853,2.7482,1.15,1.5982
18,2021-12-30,344.0,347.23,343.22,344.36,10593347,57.4718,314.5634,335.744,356.9245,3.1171,1.8064,1.3107
19,2021-12-29,346.91,349.6899,341.6401,342.94,10747009,56.5685,312.6419,334.837,357.0322,2.7269,1.8678,0.8591
20,2021-12-28,346.63,352.71,345.2,346.22,16637608,59.2684,312.5112,333.9841,355.4569,2.3339,1.9417,0.3922
21,2021-12-27,338.845,347.87,338.01,346.18,17795026,59.2464,312.2677,332.6961,353.1245,1.4643,1.5575,-0.0933
22,2021-12-23,330.1,336.67,328.36,335.24,13987698,52.7585,312.3641,331.2767,350.1894,0.3371,0.8198,-0.4826
23,2021-12-22,333.8003,334.51,328.26,330.45,16764566,49.4892,311.3354,330.8595,350.3837,0.0075,0.6951,-0.6876
24,2021-12-21,326.41,336.0,323.75,334.2,16116784,52.1108,311.0004,330.9027,350.8049,0.0743,0.9357,-0.8614
25,2021-12-20,329.775,329.9,322.53,325.45,17901783,45.9016,310.0536,330.5556,351.0575,-0.2232,0.872,-1.0953
