,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal
0,2022-01-26,148.72,150.57,145.96,147.92,20709097,34.8961,137.8198,154.8782,171.9367,-3.7111,-1.8218,-1.8892
1,2022-01-25,143.65,146.85,140.79,146.53,18915869,31.6581,139.1763,155.6107,172.0451,-3.5634,-2.1296,-1.4338
2,2022-01-24,142.28,145.48,139.57,144.95,28503121,27.8716,141.0402,156.5665,172.0929,-3.1815,-2.2801,-0.9014
3,2022-01-21,147.5,147.51,144.27,145.08,20705401,27.9901,143.5746,157.7893,172.0041,-2.4869,-2.1556,-0.3314
4,2022-01-20,148.99,150.61,147.36,147.66,14860843,30.3692,146.3933,159.1272,171.861,-1.5775,-1.785,0.2075
5,2022-01-19,151.57,152.23,148.55,148.93,22160010,31.5968,148.6828,160.3342,171.9856,-0.6564,-1.3102,0.6538
6,2022-01-18,155.78,155.78,150.54,151.27,31450099,33.9444,150.5711,161.5347,172.4983,0.3994,-0.5819,0.9813
7,2022-01-14,160.76,161.03,156.895,157.89,40158362,42.1763,152.2635,162.6152,172.9668,1.503,0.3762,1.1268
8,2022-01-13,168.34,169.81,167.89,168.23,13623418,65.0598,152.8272,163.1125,173.3978,2.2157,1.183,1.0327
9,2022-01-12,168.46,169.59,167.18,168.44,12568011,65.7324,152.7293,162.5739,172.4184,2.0403,1.3033,0.737
10,2022-01-11,168.26,168.5246,166.31,167.49,11704529,64.1767,152.8057,161.9564,171.1071,1.7653,1.3542,0.4112
11,2022-01-10,169.07,169.31,165.53,167.32,12922455,63.9044,152.8548,161.3739,169.893,1.4855,1.4128,0.0726
12,2022-01-07,165.665,167.53,165.06,167.16,13913345,63.663,153.0619,160.748,168.4341,1.1239,1.4045,-0.2806
13,2022-01-06,166.91,167.37,163.87,165.52,14047498,61.193,153.3741,160.073,166.772,0.6624,1.2942,-0.6317
14,2022-01-05,167.82,168.3589,163.73,163.78,17539410,58.4077,153.5834,159.4997,165.416,0.2308,1.186,-0.9552
15,2022-01-04,164.31,168.58,164.23,167.83,20195802,66.0807,153.4786,159.0491,164.6196,-0.1464,1.1053,-1.2517
16,2022-01-03,159.86,162.64,159.51,161.7,13128118,55.0635,154.2916,158.232,162.1724,-0.9344,0.5937,-1.5281
17,2021-12-31,158.45,159.29,157.96,158.35,5724199,46.195,154.2756,157.9703,161.665,-1.3061,0.3704,-1.6765
18,2021-12-30,159.11,160.24,158.37,158.48,6948171,46.5259,154.1589,158.0314,161.904,-1.4226,0.3465,-1.7691
19,2021-12-29,158.85,159.63,158.15,158.56,6398927,46.7171,154.199,158.0855,161.9719,-1.5638,0.2919,-1.8557
20,2021-12-28,158.2,160.15,158.08,158.64,6342743,46.8961,154.2496,158.1368,162.024,-1.7293,0.1994,-1.9287
21,2021-12-27,157.6,158.2,156.34,158.16,6189234,45.738,154.1398,158.1852,162.2305,-1.9235,0.0551,-1.9785
22,2021-12-23,157.61,159.12,157.21,157.26,8055154,43.5964,154.0323,158.2889,162.5454,-2.0948,-0.1025,-1.9923
23,2021-12-22,155.75,157.055,155.24,156.7,7272989,42.2801,153.089,158.4976,163.9062,-2.1918,-0.2252,-1.9667
24,2021-12-21,155.41,157.18,155.09,156.09,11291338,40.8848,152.3178,158.787,165.2562,-2.2272,-0.3168,-1.9104
