,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal
0,2022-01-26,59.79,60.345,59.21,59.6,19190239,51.5164,58.4524,59.867,61.2815,0.6636,-0.2799,0.9435
1,2022-01-25,59.36,60.045,58.69,59.82,19027109,54.1215,58.3862,59.8951,61.4039,0.7771,-0.2364,1.0135
2,2022-01-24,59.9,60.35,58.57,59.96,30207455,55.7885,58.2583,59.903,61.5476,0.8881,-0.1845,1.0726
3,2022-01-21,61.08,61.3,60.3982,60.45,26643161,61.9945,58.0552,59.897,61.7388,1.0027,-0.1161,1.1187
4,2022-01-20,61.0,61.44,60.72,60.75,23002353,66.1799,57.8404,59.8387,61.8371,1.0844,-0.0633,1.1477
5,2022-01-19,60.66,61.18,60.555,61.0,18072085,69.8277,57.5767,59.7428,61.9089,1.1425,-0.0211,1.1636
6,2022-01-18,61.06,61.19,60.45,60.9,20616874,69.1971,57.3156,59.6105,61.9054,1.1745,0.0056,1.1688
7,2022-01-14,60.94,61.45,60.36,61.39,19729632,76.4694,57.1241,59.4748,61.8254,1.2084,0.041,1.1674
8,2022-01-13,60.54,61.04,60.385,60.9,14317992,73.9248,57.0789,59.2731,61.4674,1.1843,0.0271,1.1572
9,2022-01-12,60.53,60.685,60.19,60.54,15753809,71.8478,56.9728,59.1019,61.231,1.1861,0.0357,1.1504
10,2022-01-11,60.43,60.49,59.84,60.45,17591613,71.3174,56.8415,58.9505,61.0596,1.2079,0.0663,1.1415
11,2022-01-10,60.55,60.82,60.18,60.43,20954345,71.2055,56.7218,58.7927,60.8636,1.2272,0.1023,1.1249
12,2022-01-07,60.275,60.72,60.06,60.33,12307896,70.6741,56.3835,58.6203,60.8572,1.2361,0.1367,1.0994
13,2022-01-06,60.465,61.115,60.435,60.47,17902345,72.4113,55.779,58.4404,61.1017,1.2397,0.1745,1.0652
14,2022-01-05,60.09,61.195,60.05,60.79,22507262,76.3968,55.3532,58.2267,61.1002,1.2119,0.1904,1.0216
15,2022-01-04,59.73,60.535,59.59,60.29,26141584,74.3483,55.0851,57.9569,60.8287,1.1263,0.1523,0.974
16,2022-01-03,58.82,59.31,58.375,59.3,20188377,69.478,54.7944,57.7113,60.6283,1.0516,0.1156,0.9359
17,2021-12-31,58.75,59.35,58.695,59.21,10005007,68.9809,54.2478,57.5441,60.8404,1.0416,0.1346,0.907
18,2021-12-30,59.06,59.23,58.76,58.78,7703896,66.5648,53.717,57.3687,61.0204,1.023,0.1497,0.8733
19,2021-12-29,58.95,59.095,58.66,58.95,9996046,68.5242,53.1362,57.2202,61.3041,1.0281,0.1922,0.8359
20,2021-12-28,58.4,58.94,58.3,58.88,8982271,68.1659,52.7053,57.0381,61.3709,1.0024,0.2145,0.7879
21,2021-12-27,58.0,58.69,58.0,58.65,9862192,67.0205,52.5749,56.8442,61.1135,0.9621,0.2278,0.7342
22,2021-12-23,58.52,58.61,57.94,58.22,11027341,64.8233,52.3858,56.6541,60.9224,0.9201,0.2428,0.6773
23,2021-12-22,57.71,58.19,57.49,58.18,12447436,64.6197,52.3511,56.4893,60.6274,0.8968,0.2803,0.6166
24,2021-12-21,57.61,57.965,57.53,57.77,15864885,62.5569,52.3354,56.3113,60.2873,0.8582,0.3117,0.5465
25,2021-12-20,57.2,57.78,57.0,57.54,20879477,61.3841,52.3119,56.1578,60.0037,0.8382,0.3696,0.4686
26,2021-12-17,58.49,58.92,57.7,57.73,51899377,62.8952,52.2843,56.0123,59.7402,0.8238,0.4477,0.3762
27,2021-12-16,57.98,58.88,57.9,58.65,24696859,70.7235,52.2791,55.8314,59.3838,0.7742,0.51,0.2643
28,2021-12-15,57.93,58.25,57.65,58.06,24923791,68.3798,52.3641,55.5348,58.7054,0.6059,0.4692,0.1368
29,2021-12-14,57.4,58.17,57.4,57.8,24806569,67.309,52.4029,55.2689,58.135,0.4424,0.4229,0.0195
30,2021-12-13,56.98,57.93,56.955,57.76,31362827,67.15,52.3957,55.0025,57.6093,0.2537,0.34,-0.0862
31,2021-12-10,55.25,56.32,55.07,56.28,23153567,60.5628,52.3956,54.7123,57.029,0.0133,0.1845,-0.1712
32,2021-12-09,54.75,55.13,54.585,54.86,13846415,51.9848,52.2292,54.5472,56.8652,-0.1431,0.0742,-0.2174
33,2021-12-08,55.12,55.35,54.36,55.0,18026446,53.041,52.0962,54.5143,56.9324,-0.1961,0.0398,-0.2359
34,2021-12-07,55.02,55.415,54.85,55.21,23832724,54.5857,51.9825,54.4632,56.9438,-0.2751,-0.0292,-0.2459
35,2021-12-06,54.31,55.25,54.14,54.91,26624137,52.7607,51.8652,54.3846,56.9039,-0.3933,-0.1548,-0.2385
36,2021-12-03,53.33,53.61,52.98,53.54,21064353,43.0572,51.7214,54.3293,56.9372,-0.5079,-0.3081,-0.1999
37,2021-12-02,52.6,53.34,52.505,53.07,17074165,39.0702,51.8323,54.4123,56.9924,-0.5074,-0.3845,-0.1228
38,2021-12-01,52.98,53.52,52.28,52.3,18724144,31.8065,52.12,54.5536,56.9873,-0.4514,-0.4247,-0.0267
39,2021-11-30,53.6,53.625,52.44,52.45,30485169,32.5075,52.7449,54.7909,56.8369,-0.295,-0.3745,0.0795
40,2021-11-29,54.045,54.73,53.93,54.58,22712471,42.2975,53.4823,55.0373,56.5923,-0.1063,-0.2794,0.1731
41,2021-11-26,54.59,54.75,53.58,53.73,14754338,32.9814,53.702,55.131,56.5601,-0.0367,-0.2797,0.2429
42,2021-11-24,55.71,55.835,55.03,55.43,12598975,47.1054,54.3603,55.3234,56.2866,0.1385,-0.1744,0.3129
43,2021-11-23,55.66,56.1064,55.5,55.88,13836255,52.6471,54.4084,55.3586,56.3088,0.1885,-0.168,0.3565
44,2021-11-22,55.1,56.02,55.08,55.47,16906227,47.413,54.1515,55.3504,56.5493,0.204,-0.1945,0.3985
45,2021-11-19,55.44,55.485,54.9047,55.13,15813660,42.5208,53.9582,55.3842,56.8103,0.2623,-0.1848,0.4471
46,2021-11-18,55.83,55.93,55.14,55.41,15380377,45.7775,53.9196,55.4571,56.9945,0.3672,-0.1261,0.4933
47,2021-11-17,56.04,56.05,55.65,55.91,13288677,52.437,53.8282,55.5084,57.1885,0.4675,-0.0573,0.5248
48,2021-11-16,56.62,56.94,56.185,56.22,13756461,57.2301,53.7377,55.5128,57.288,0.5382,-0.0009,0.5391
49,2021-11-15,56.53,56.68,56.27,56.62,10289188,64.2689,53.5663,55.4854,57.4045,0.5893,0.05,0.5393
