,Unnamed: 0,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal,Trend
0,0,2022-01-26,307.985,308.5,293.03,296.71,90428853,35.9668,279.0478,309.6356,340.2233,-9.4022,-2.0243,-7.378,D
1,1,2022-01-25,291.52,294.99,285.17,288.49,72848638,26.4329,279.2091,310.9961,342.7832,-9.472,-2.6001,-6.8719,D
2,2,2022-01-24,292.2,297.11,276.05,296.37,86035393,30.4715,282.1861,313.3652,344.5443,-8.5862,-2.3644,-6.2219,D
3,3,2022-01-21,302.685,304.11,295.61,296.03,57984403,30.0433,284.9795,315.1542,345.3289,-8.1332,-2.5024,-5.6308,D
4,4,2022-01-20,309.07,311.6494,301.14,301.6,35380675,33.1491,288.7231,317.1672,345.6114,-7.402,-2.3968,-5.0052,D
5,5,2022-01-19,306.29,313.9093,302.7,303.33,45485618,34.1678,291.9533,318.8059,345.6586,-6.9282,-2.5222,-4.406,D
6,6,2022-01-18,304.07,309.8,301.74,302.65,41717982,33.421,295.1659,320.4349,345.704,-6.3988,-2.6234,-3.7754,D
7,7,2022-01-14,304.25,310.82,303.75,310.2,39846414,37.8474,299.0944,322.307,345.5197,-5.5608,-2.4412,-3.1196,D
8,8,2022-01-13,320.4658,320.88,304.0,304.8,45365979,31.8531,301.4524,323.5815,345.7106,-5.1791,-2.6698,-2.5093,D
9,9,2022-01-12,319.67,323.41,317.08,318.27,34372217,41.0158,305.4935,325.5585,345.6235,-4.0667,-2.2249,-1.8418,D
10,10,2022-01-11,313.38,316.61,309.89,314.98,29267314,36.8991,306.7394,326.3257,345.912,-3.9593,-2.6737,-1.2856,D
11,11,2022-01-10,309.485,314.72,304.69,314.27,44289467,36.004,308.3596,327.52,346.6803,-3.4295,-2.8123,-0.6172,D
12,12,2022-01-07,314.15,316.5,310.09,314.04,32720018,35.7298,310.2905,328.9147,347.5389,-2.6312,-2.7171,0.0859,D
13,13,2022-01-06,313.15,318.7,311.49,313.88,39646148,35.5514,313.53,330.4804,347.4308,-1.5506,-2.3158,0.7652,D
14,14,2022-01-05,325.86,326.07,315.98,316.38,40054327,37.0432,317.3895,332.2279,347.0662,-0.1325,-1.4766,1.3441,D
15,15,2022-01-04,334.83,335.2,326.12,329.01,32674306,46.1221,321.1332,333.8961,346.6589,1.4249,-0.2884,1.7133,D
16,16,2022-01-03,335.35,338.0,329.78,334.75,28918013,51.4429,321.3778,334.4104,347.443,2.106,0.3206,1.7854,U
17,17,2021-12-31,338.51,339.355,335.85,336.32,17772880,52.9957,320.5511,334.3746,348.1982,2.3603,0.655,1.7052,U
18,18,2021-12-30,341.91,343.13,338.82,339.32,15994471,55.9946,320.3429,334.1699,347.9968,2.4906,0.9492,1.5415,U
19,19,2021-12-29,341.3,344.3,339.68,341.95,15041956,58.6986,320.0929,333.6277,347.1626,2.3153,1.0111,1.3042,U
20,20,2021-12-28,343.15,343.81,340.32,341.25,15661467,58.1997,319.9497,332.7517,345.5537,1.7901,0.7387,1.0514,U
21,21,2021-12-27,335.46,342.48,335.43,342.45,19947029,59.3407,319.5947,331.8572,344.1196,1.165,0.2983,0.8667,U
22,22,2021-12-23,332.75,336.39,332.73,334.69,19617848,53.9156,319.5413,330.7421,341.9429,0.228,-0.5641,0.7921,U
23,23,2021-12-22,328.3,333.605,325.75,333.2,24831493,52.7925,318.8222,330.3265,341.8309,-0.1811,-1.1143,0.9332,U
24,24,2021-12-21,323.29,327.73,319.8,327.29,24740597,48.1376,318.1897,330.0241,341.8584,-0.549,-1.7608,1.2117,D
25,25,2021-12-20,320.05,322.8,317.57,319.91,28326532,41.4422,318.0625,330.3119,342.5612,-0.4088,-2.0608,1.6519,D
26,26,2021-12-17,320.88,324.92,317.25,323.8,47983713,44.2374,319.5232,331.4068,343.2905,0.5274,-1.6397,2.1671,D
27,27,2021-12-16,335.71,336.76,323.02,324.9,35034831,45.035,320.6044,332.2075,343.8107,1.3187,-1.2583,2.577,D
