,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal
0,2022-01-26,232.4,240.57,223.0,227.72,75595873,29.6002,211.6374,260.2672,308.8971,-16.836,-4.9584,-11.8776
1,2022-01-25,225.46,229.43,220.0,223.24,66461636,26.3727,216.3166,263.6933,311.0699,-16.0268,-5.3888,-10.638
2,2022-01-24,223.3,233.8,208.88,233.72,91581063,29.2894,223.2533,267.9515,312.6497,-14.3046,-5.0138,-9.2908
3,2022-01-21,235.07,248.23,232.63,233.74,71895784,29.2952,230.4078,271.5548,312.7018,-12.9655,-4.9282,-8.0374
4,2022-01-20,253.04,255.7904,240.78,241.5,43518073,31.5214,239.5183,275.5353,311.5524,-11.0698,-4.2645,-6.8053
5,2022-01-19,260.79,265.4317,250.52,250.67,48360408,34.389,248.0665,279.118,310.1695,-9.2792,-3.5401,-5.7392
6,2022-01-18,262.6,266.38,257.7,259.03,42267538,37.2583,254.8823,282.1125,309.3428,-7.7925,-2.9384,-4.8542
7,2022-01-14,263.0,271.969,262.1001,269.42,39583235,41.2282,259.8784,284.5423,309.2062,-6.6328,-2.5132,-4.1196
8,2022-01-13,283.79,284.8,264.98,265.75,53886809,39.0999,262.7023,286.1341,309.5658,-6.114,-2.6228,-3.4913
9,2022-01-12,280.665,285.95,276.08,279.99,38341348,44.967,265.8854,288.2798,310.6741,-4.9892,-2.1537,-2.8356
10,2022-01-11,273.225,280.65,268.39,278.17,40276508,43.9692,266.9888,289.1524,311.316,-4.9309,-2.6338,-2.2972
11,2022-01-10,265.81,274.69,256.4384,274.0,59468095,41.7211,268.4438,290.3084,312.173,-4.5995,-2.9608,-1.6387
12,2022-01-07,281.41,284.22,270.57,272.47,40993851,40.9133,270.7445,292.0251,313.3057,-3.6849,-2.7864,-0.8985
13,2022-01-06,276.4,284.3799,270.65,281.78,45418637,44.3895,273.7592,294.0835,314.4079,-2.3083,-2.1063,-0.2019
14,2022-01-05,289.49,294.16,275.33,276.04,49806388,41.5462,272.8267,295.3786,317.9306,-1.4655,-1.7902,0.3247
15,2022-01-04,302.77,304.68,283.49,292.9,52715440,48.2789,272.9885,297.4143,321.84,0.216,-0.5563,0.7722
