,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal
0,2022-01-26,952.43,987.69,906.0,937.41,32621862,40.0586,867.0011,1008.4635,1149.9259,-28.1026,-16.775,-11.3276
1,2022-01-25,914.2,951.26,903.21,918.4,28865302,37.2854,881.2777,1015.9428,1150.608,-25.2152,-18.0814,-7.1338
2,2022-01-24,904.76,933.5131,851.47,930.0,50791714,38.2891,904.1245,1026.2105,1148.2965,-19.2275,-16.614,-2.6135
3,2022-01-21,996.34,1004.55,940.5,943.9,34472009,39.4715,928.9328,1036.3379,1143.743,-12.4864,-14.0264,1.54
4,2022-01-20,1009.73,1041.66,994.0,996.27,23496248,44.2519,949.9841,1046.0682,1142.1523,-5.116,-10.1626,5.0466
5,2022-01-19,1041.705,1054.6699,995.0,995.65,24870215,44.1776,944.1132,1051.3101,1158.5071,-0.9664,-8.5537,7.5873
6,2022-01-18,1026.605,1070.7899,1016.06,1030.51,22158412,47.4826,931.3142,1057.1691,1183.024,4.4071,-5.3186,9.7257
7,2022-01-14,1019.88,1052.0,1013.3788,1049.61,24308137,49.3615,922.9448,1059.9753,1197.0059,7.6521,-3.4032,11.0554
8,2022-01-13,1109.065,1115.6,1026.5391,1031.56,32403264,47.5399,913.2253,1061.0664,1208.9076,9.738,-2.1682,11.9062
9,2022-01-12,1078.85,1114.84,1072.5901,1106.22,27913005,55.1609,913.149,1064.1724,1215.1957,14.0964,1.6482,12.4482
10,2022-01-11,1053.67,1075.85,1038.82,1064.4,21593308,51.0821,906.9506,1059.7463,1212.542,11.8526,-0.1835,12.0362
11,2022-01-10,1000.0,1059.1,980.0,1058.12,30604959,50.4537,903.9253,1059.2564,1214.5875,13.0744,0.9923,12.0821
12,2022-01-07,1080.37,1080.9299,1010.0,1026.96,28054916,47.3364,904.3476,1059.3761,1214.4045,15.083,3.249,11.834
13,2022-01-06,1077.0,1088.0,1020.5,1064.7,30112158,50.9409,907.3161,1062.7883,1218.2604,20.6,9.5782,11.0217
14,2022-01-05,1146.65,1170.34,1081.0101,1088.12,26706599,53.2788,906.912,1062.587,1218.2621,23.4994,14.8722,8.6272
15,2022-01-04,1189.55,1208.0,1123.05,1149.59,33416086,59.9885,906.15,1059.8994,1213.6488,24.4738,19.5646,4.9091
16,2022-01-03,1147.75,1201.07,1136.04,1199.78,34895349,66.3209,907.0692,1050.4582,1193.8472,19.1026,19.0847,0.0179
17,2021-12-31,1073.4444,1081.9999,1054.59,1056.78,13466216,53.2704,917.1111,1034.7402,1152.3692,6.859,11.6122,-4.7532
18,2021-12-30,1061.33,1095.55,1053.15,1070.34,15680313,55.1521,912.0699,1032.4202,1152.7704,5.6919,13.3482,-7.6563
19,2021-12-29,1098.64,1104.0,1064.14,1086.19,18718015,57.351,905.2886,1028.4286,1151.5686,2.7389,13.7322,-10.9933
20,2021-12-28,1109.49,1118.9999,1078.42,1088.47,20107969,57.6581,890.0737,1022.3485,1154.6232,-2.684,11.7424,-14.4264
21,2021-12-27,1073.67,1117.0,1070.7152,1093.94,23715273,58.3541,876.3769,1015.3883,1154.3997,-9.7986,7.5634,-17.362
22,2021-12-23,1006.8,1072.9767,997.56,1067.0,30904429,55.9207,869.2972,1007.1197,1144.9422,-19.2938,-0.041,-19.2528
23,2021-12-22,965.66,1015.6599,957.05,1008.87,31211362,50.0757,858.028,1000.8165,1143.6051,-28.3896,-9.147,-19.2426
24,2021-12-21,916.87,939.5,886.12,938.53,23839305,41.335,852.3762,999.9688,1147.5614,-33.6675,-16.7117,-16.9558
25,2021-12-20,910.7,921.6884,893.39,899.94,18826671,35.5903,854.2958,1006.436,1158.5762,-32.7525,-19.9745,-12.7779
26,2021-12-17,914.77,960.6599,909.0401,932.57,33626754,38.5546,873.5025,1017.6461,1161.7897,-27.1789,-19.3946,-7.7843
27,2021-12-16,994.5,994.98,921.85,926.92,27590483,37.7205,891.6196,1026.6015,1161.5834,-22.992,-20.0564,-2.9356
28,2021-12-15,953.21,978.7499,928.2501,975.99,25056410,42.3572,915.6884,1037.0943,1158.5002,-16.7384,-18.8169,2.0785
29,2021-12-14,945.0,966.41,930.0,958.51,23602090,39.9141,929.1069,1043.5263,1157.9457,-13.5092,-20.2919,6.7827
30,2021-12-13,1001.09,1005.0,951.42,966.41,26198502,40.6369,946.5295,1052.4754,1158.4213,-7.4113,-19.2669,11.8557
