,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal
0,2022-01-26,458.45,463.88,453.45,458.43,4393811,39.2841,435.2522,469.1159,502.9796,-4.982,-2.4767,-2.5053
1,2022-01-25,454.07,459.49,447.27,456.84,3428905,37.6056,435.0985,470.2408,505.3831,-4.6952,-2.809,-1.8862
2,2022-01-24,458.07,464.14,448.1278,462.27,4782531,41.2193,436.4456,471.6514,506.8571,-4.0989,-2.915,-1.1839
3,2022-01-21,463.5,470.79,461.07,461.17,4273182,40.1372,437.6175,472.6389,507.6602,-3.831,-3.3759,-0.4552
4,2022-01-20,464.38,471.63,462.0,463.0,3228619,41.3121,439.5484,473.8461,508.1439,-3.3214,-3.7102,0.3888
5,2022-01-19,468.0001,475.49,461.51,462.52,3961802,40.8907,441.8064,474.9878,508.1693,-2.809,-4.1254,1.3164
6,2022-01-18,465.17,465.71,458.35,460.99,3850100,39.6071,444.5421,476.3002,508.0584,-2.0652,-4.4129,2.3477
7,2022-01-14,469.89,473.1699,465.08,468.69,3665568,44.0802,448.0444,477.9118,507.7793,-0.9301,-4.381,3.4509
8,2022-01-13,475.89,476.55,465.98,467.43,3005301,43.1038,449.9499,478.8826,507.8152,-0.2517,-4.7979,4.5462
9,2022-01-12,468.97,475.32,466.34,473.72,3502254,46.8997,452.4577,480.0881,507.7184,0.7461,-4.9995,5.7456
10,2022-01-11,467.2,470.445,460.67,469.0,3330330,43.4283,453.6298,480.7584,507.8871,1.3684,-5.6271,6.9955
11,2022-01-10,456.0,465.86,454.44,465.0,5831782,40.3602,455.9229,481.9961,508.0694,2.6234,-5.7789,8.4023
12,2022-01-07,467.69,467.97,455.55,458.6,5494221,35.1335,459.5935,483.7852,507.9769,4.5943,-5.2528,9.847
13,2022-01-06,480.0,484.135,463.12,469.65,6555181,40.8769,465.3982,486.4363,507.4743,7.6946,-3.4656,11.1602
14,2022-01-05,494.77,497.0,489.69,489.69,3921068,56.4049,467.006,488.2033,509.4005,10.4148,-1.6118,12.0266
15,2022-01-04,503.2,503.75,490.88,490.9,3908144,57.6323,464.0484,488.0468,512.0451,11.6949,-0.7347,12.4296
